"","X","X.1","X.2","par1","par2","par3","r2","id"
"84","cv",4,101.871890194294,-4.55281429391341,-4.99880209381516,-0.790009488253572,0.0201995280713801,11
"85","cv",5,101.814659421051,-4.87828660698538,-4.99623902429302,-0.710693138474242,0.0207499717563395,11
"86","cv",6,101.73529040326,0.041342944357599,-4.99814951860197,-0.549155286171766,0.0215133403454549,11
"87","cv",7,101.958895274816,-4.35320110464,-4.99831978800022,-0.669198524704346,0.0193627160833719,11
"88","cv",8,102.362532237414,-4.57869201615012,-4.99993494159632,-0.906664597438251,0.0154805491216411,11
"89","cv",1,101.728177322052,3.31627767196455,-1.82144283264642,-4.83081654119401,0.0215817537253498,12
"90","cv",2,101.929928968563,3.2715856436334,-1.7292657592687,-4.89660669914934,0.0196413130592656,12
"91","cv",3,101.515586772872,3.40566013618495,-1.94457798530607,-4.78235662143531,0.0236264425989621,12
"92","cv",4,102.016724834024,1.3914073611757,-1.74304717802225,-1.4570226642947,0.0188065132947973,12
"93","cv",5,101.892041030785,1.07418134538631,-2.23858402558693,-1.08290282709472,0.0200057179922113,12
"94","cv",6,102.689205563402,1.56874397319397,-2.12598454121596,-2.06282623267329,0.0123386158723505,12
"95","cv",7,101.830563007338,3.25104640256218,-2.22727370163847,-4.88169604957935,0.0205970115892156,12
"96","cv",8,102.588785113378,3.1437245082566,-0.990760277836855,-4.32938437810399,0.013304456440707,12
"97","cv",1,101.990741300794,2.13451741794058,-4.97077302866102,-3.55276304746273,0.0190564220583687,13
"98","cv",2,102.859731472974,1.44243358720415,-3.81440912629957,-2.57644137944822,0.0106985033117998,13
"99","cv",3,101.460733242743,1.95336265287998,-4.63250147175463,-3.13730888756995,0.0241540220382445,13
"100","cv",4,101.858411752527,2.03273053485855,-4.6401595967474,-3.30726925921005,0.0203291632786878,13
"101","cv",5,101.704455982433,1.97180594379455,-4.68085642069997,-3.21886911221386,0.0218099047855602,13
"102","cv",6,101.838944340321,1.95869402273365,-3.58241079531756,-3.04687208174343,0.020516400205678,13
"103","cv",7,101.770440660666,1.44344022439436,-3.78250780455838,-2.41870156223669,0.0211752663318175,13
"104","cv",8,101.160499567969,2.08364132068168,-4.99627765243405,-3.37571914841767,0.0270416595962732,13
"105","cv",1,102.01837425405,0.807459906000852,-2.11836562861721,-0.0302715177947112,0.0187906492275184,14
"106","cv",2,102.405394881604,4.60002678280522,3.08991332716293,-2.67300892142367,0.0150682976268924,14
"107","cv",3,101.972077083992,1.81426852966013,3.9349456971786,-1.70167451167697,0.0192359338785174,14
"108","cv",4,101.859311063869,1.16109274697782,-2.64929428321753,-0.181475258060946,0.0203205137319324,14
"109","cv",5,102.079362398213,1.03156091341461,-2.4921653300644,-0.440182911936451,0.018204067273272,14
"110","cv",6,102.258857184933,0.945275563164419,-1.8700407776243,-0.294132296157458,0.0164776923488293,14
"111","cv",7,101.972077083992,0.577837484983247,4.57767123028724,-2.24320723089285,0.0192359338785174,14
"112","cv",8,102.231516468201,0.576908376821507,-2.07218029964078,-0.0288995605416958,0.0167406544584535,14
"113","cv",1,101.728398443687,-4.9214643725406,1.77746700878062,4.98739279580281,0.0215796269847748,15
"114","cv",2,101.916471284386,-4.99764424683242,2.51174244552624,4.97959034540231,0.0197707486207591,15
"115","cv",3,102.004604651623,-4.96708005419585,2.59791155331699,4.97755952493029,0.0189230848084281,15
"116","cv",4,102.173149195431,-4.70417435236388,2.74377923471065,4.99372756944383,0.0173020289582901,15
