"","id","cond","age","x","y","z","trial","round","agegroup"
"136",1,"Rough",7,5,6,36,5,6,"7-8"
"137",1,"Rough",7,3,7,27,6,6,"7-8"
"138",1,"Rough",7,3,6,39,7,6,"7-8"
"139",1,"Rough",7,5,7,28,8,6,"7-8"
"140",1,"Rough",7,4,6,52,9,6,"7-8"
"141",1,"Rough",7,4,5,34,10,6,"7-8"
"142",1,"Rough",7,5,5,15,11,6,"7-8"
"143",1,"Rough",7,2,6,37,12,6,"7-8"
"144",1,"Rough",7,2,5,36,13,6,"7-8"
"145",1,"Rough",7,4,6,50,14,6,"7-8"
"146",1,"Rough",7,2,7,29,15,6,"7-8"
"147",1,"Rough",7,1,7,35,16,6,"7-8"
"148",1,"Rough",7,1,6,42,17,6,"7-8"
"149",1,"Rough",7,4,6,51,18,6,"7-8"
"150",1,"Rough",7,6,6,22,19,6,"7-8"
"151",1,"Rough",7,1,5,30,20,6,"7-8"
"152",1,"Rough",7,3,4,37,21,6,"7-8"
"153",1,"Rough",7,4,4,25,22,6,"7-8"
"154",1,"Rough",7,4,6,49,23,6,"7-8"
"155",1,"Rough",7,5,6,35,24,6,"7-8"
"156",1,"Rough",7,6,7,11,25,6,"7-8"
"157",1,"Rough",7,6,0,25,0,7,"7-8"
"158",1,"Rough",7,2,4,28,1,7,"7-8"
"159",1,"Rough",7,5,6,51,2,7,"7-8"
"160",1,"Rough",7,5,7,31,3,7,"7-8"
"161",1,"Rough",7,6,6,23,4,7,"7-8"
"162",1,"Rough",7,6,7,12,5,7,"7-8"
"163",1,"Rough",7,4,7,24,6,7,"7-8"
"164",1,"Rough",7,4,6,37,7,7,"7-8"
"165",1,"Rough",7,5,5,39,8,7,"7-8"
"166",1,"Rough",7,5,6,49,9,7,"7-8"
"167",1,"Rough",7,7,6,7,10,7,"7-8"
"168",1,"Rough",7,7,7,7,11,7,"7-8"
"169",1,"Rough",7,3,7,20,12,7,"7-8"
"170",1,"Rough",7,3,6,17,13,7,"7-8"
"171",1,"Rough",7,4,5,32,14,7,"7-8"
"172",1,"Rough",7,6,5,17,15,7,"7-8"
"173",1,"Rough",7,5,6,50,16,7,"7-8"
"174",1,"Rough",7,5,4,13,17,7,"7-8"
"175",1,"Rough",7,3,4,25,18,7,"7-8"
"176",1,"Rough",7,3,5,21,19,7,"7-8"
"177",1,"Rough",7,7,5,7,20,7,"7-8"
"178",1,"Rough",7,5,6,50,21,7,"7-8"
"179",1,"Rough",7,5,5,41,22,7,"7-8"
"180",1,"Rough",7,6,4,11,23,7,"7-8"
"181",1,"Rough",7,4,4,11,24,7,"7-8"
"182",1,"Rough",7,5,6,48,25,7,"7-8"
"183",1,"Rough",7,6,7,20,0,8,"7-8"
"184",1,"Rough",7,3,4,32,1,8,"7-8"
"185",1,"Rough",7,4,4,24,2,8,"7-8"
"186",1,"Rough",7,5,2,29,3,8,"7-8"
"187",1,"Rough",7,2,1,49,4,8,"7-8"
"188",1,"Rough",7,3,1,36,5,8,"7-8"
"189",1,"Rough",7,2,2,40,6,8,"7-8"
"190",1,"Rough",7,3,3,19,7,8,"7-8"
"191",1,"Rough",7,0,1,42,8,8,"7-8"
"192",1,"Rough",7,1,1,48,9,8,"7-8"
"193",1,"Rough",7,1,2,38,10,8,"7-8"
"194",1,"Rough",7,0,2,42,11,8,"7-8"
"195",1,"Rough",7,0,0,35,12,8,"7-8"
"196",1,"Rough",7,1,0,36,13,8,"7-8"
