"","X","X.1","X.2","par1","par2","par3"
"65","cv",1,70.8674895738518,-0.912828119694525,-0.40139110706655,-4.99999648760958
"66","cv",2,88.0662125307029,-0.900392007880841,-0.175283887220116,-4.99999626022752
"67","cv",3,78.4539988813722,-0.906900790590825,-0.323458588494482,-4.99999964245051
"68","cv",4,93.7135452559892,-0.899036513353389,-0.38451402242729,-4.9999988748136
"69","cv",5,84.1549473903829,-0.90978999971397,-0.967992251659682,-4.99999820423416
"70","cv",6,84.4815042499032,-0.903379678457913,0.271343106952913,-4.99999507216751
"71","cv",7,87.4957801934037,-0.905542842854622,-0.621947556581435,-4.99998905679402
"72","cv",8,84.1953890885206,-0.908380746180125,-0.913365090446299,-4.99998940221115
"73","cv",1,95.8574410057394,-0.923284059441733,-0.923835945238145,-4.99999866273555
"74","cv",2,91.8734831299869,-0.933613118293187,-0.892383281644931,-4.99999972860209
"75","cv",3,89.0442621539876,-0.927407860876467,-0.212831454697972,-4.99999966847021
"76","cv",4,84.8521354723868,-0.941644198269725,-0.916002552787864,-4.99999994760674
"77","cv",5,93.6350600752649,-0.932317953725029,-0.937316540813034,-4.99997527566434
"78","cv",6,92.8222873623393,-0.929979164124659,-0.872484894138181,-4.99999554779736
"79","cv",7,91.8147361377076,-0.93097326173883,-0.933426658172145,-4.99999939153459
"80","cv",8,89.039929127824,-0.92615190102756,-0.962015070419573,-4.99999993225927
"81","cv",1,92.1170403413797,-0.571572980684603,-0.18648655251735,-3.01522253911864
"82","cv",2,95.0981651657384,-0.546733582428726,-0.362321593698884,-3.01874431478825
"83","cv",3,98.0584208079172,-0.537955074078706,-0.423702194685817,-3.04968630467707
"84","cv",4,96.1618942757049,-0.533227544058055,-0.61871552395625,-3.07234366067685
"85","cv",5,92.4259191352607,-0.544278298205822,-0.552702595538637,-3.00313273900734
"86","cv",6,92.6561935192951,-0.52185031561956,-0.525544621826882,-2.91057174812808
"87","cv",7,96.4891007521649,-0.526548678177786,-0.398102690994243,-3.02894679515436
