,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
beta_round__139,0.5062600454917473,1.0999097848739954,0.011605326030221463,-1.578483022572972,2.7307123372532107,4000.0,0.9998567039567551
beta_round__140,0.14469255330698286,0.8964066982242438,0.008651659323817593,-1.6753413856955137,1.891141169049773,4000.0,0.9997519084955154
beta_round__141,0.7205154295052923,1.05807214958746,0.010697184582252096,-1.3377640157611561,2.709339773451439,4000.0,0.9997750878096766
beta_round__142,0.9629973160633422,0.9298734527128492,0.008227256682555938,-0.9084295330982742,2.7388474359297055,4000.0,0.9997819088841704
beta_round__143,6.111093391992626,0.9662108697232638,0.00896104091999935,4.236521350930142,8.013100943252509,4000.0,0.9997542945698699
beta_round__144,2.2796165633998964,1.0588960027943144,0.010814934408513732,0.24187725895286083,4.349272907079548,4000.0,0.9997500998590484
beta_round__145,-0.5940900581993469,0.9254812870749493,0.0086781952281222,-2.470565172802377,1.1143025240520879,4000.0,0.9997502770534241
beta_round__146,-1.3961853523489787,0.9801913115212139,0.010192257340741515,-3.3232158209097737,0.4780443560721285,4000.0,0.9998207554204127
beta_round__147,4.063296698185367,0.8288303857486501,0.008755344175161401,2.5422416475428586,5.758119155199002,4000.0,0.9997605550160067
beta_round__148,-2.793655780668203,1.1523334491886381,0.01075045359581411,-5.123607563954346,-0.5314404118007662,4000.0,0.9997499788226902
beta_round__149,-0.0990688526400486,1.0138347954980982,0.009790421073802878,-2.092319598920866,1.8488403178720514,4000.0,0.9997722515181086
beta_round__150,-0.4468729117983171,0.8520446777995905,0.009194829381473592,-2.063533556057603,1.2214856341972622,4000.0,0.9997831966096643
beta_round__151,-5.6843986486487275,0.9228341919186618,0.009375693967974972,-7.420293249918628,-3.839680743964436,4000.0,1.000008277526484
beta_round__152,1.2175936708581128,1.0823184652544544,0.010063701065641268,-0.8316723459056995,3.3143395389151693,4000.0,0.999861791713151
beta_round__153,-2.2014459541300457,1.1174464846029586,0.011248974857069178,-4.279790670059205,0.02863109666686736,4000.0,0.9998133724338406
beta_round__154,2.533130214274448,0.8792465140041568,0.00978891507379771,0.8442863716561138,4.207555520654657,4000.0,0.9997639852009949
beta_round__155,-2.058981348096904,1.068835174254828,0.011140912509071444,-4.147173074368633,0.07174749510722678,4000.0,0.9997502165074191
beta_round__156,3.1473285549927374,0.9398362670318631,0.009932040050753956,1.229584833058977,4.8174100846449,4000.0,0.9999479531178219
beta_round__157,1.3995542811891688,1.1410971602257698,0.013255695503564252,-0.7689144319387884,3.690127841530138,4000.0,0.9997774539310311
beta_round__158,-2.673581912887146,1.0645577309583585,0.010638793687451662,-4.774959063235433,-0.6295978536661269,4000.0,0.9998763170499196
beta_round__159,0.17109732162615288,1.1335724962184168,0.011016691711325428,-1.9859225394288957,2.4020170875725597,4000.0,1.0001679973566855
beta_trial__0,0.1878841214524643,0.750777474632627,0.007732542793709547,-1.2477145732801038,1.6393663752234942,4000.0,0.9999162150524495
beta_trial__1,-0.7267728461806924,0.754296200390909,0.006363313882627075,-2.2025935083521833,0.6953124864886968,4000.0,0.9998427056412693
beta_trial__2,2.0434118528577785,0.7499931580773082,0.00728843186176639,0.6153193749878919,3.4929807427962514,4000.0,0.9998409132050192
beta_trial__3,2.035165442979291,0.8461016022529007,0.007986910042854232,0.314110781903694,3.6477733300612227,4000.0,0.9997557351429479
beta_trial__4,-1.3900910733689726,0.7565050916787037,0.0069417683638667415,-2.8424061334619304,0.14123663961569033,4000.0,0.9998802266163525
beta_trial__5,-0.7469472728255682,0.8896797922890413,0.007201531295748928,-2.341278069506371,1.1915801728474174,4000.0,0.9998146044092644
beta_trial__6,5.001800156759471,0.6232461587553964,0.005602747937034478,3.8042763897331566,6.1872512367059835,4000.0,0.9997578032730455
beta_trial__7,-0.11133843248499033,0.789383444207466,0.008325139275161864,-1.6166964057720759,1.5084388001972637,4000.0,1.000123818046272
beta_trial__8,-2.134106548889186,0.7173737513825883,0.007330982796549498,-3.491088769176887,-0.6876232237995943,4000.0,1.0000181687365661
beta_trial__9,0.06466727904291886,0.774445429655954,0.00762268497062635,-1.4648301035560551,1.597580270657878,4000.0,0.9998574940676894
beta_trial__10,0.5475464281815844,0.7314905446750913,0.006950374711335412,-0.8173163086685274,1.9504144999625523,4000.0,0.999756393149191
beta_trial__11,0.2747379023707945,0.5913825782782496,0.006489013088453279,-0.862572882535177,1.4571950010841201,4000.0,0.999752519963501
beta_trial__12,-1.0799080730707389,0.8340148432672154,0.009006556472125487,-2.585535295629077,0.6985953991061328,4000.0,1.0000173411024684
beta_trial__13,1.1065238004420572,0.7445082290643714,0.007445227186127705,-0.40445424156354637,2.5469884767286883,4000.0,0.9997500174728075
beta_trial__14,-1.4950996949575044,0.6778958673116903,0.00680032094985041,-2.864139676401889,-0.22358706005179463,4000.0,0.9999440617141581
beta_trial__15,0.8784127183701644,0.7612553235175635,0.00701945350355771,-0.5528443950537671,2.4132093832112975,4000.0,0.999755172395063
beta_trial__16,-2.2106492794092145,0.7073088961188135,0.007042799298434777,-3.577863846632998,-0.8324506849613029,4000.0,0.9998131222731307
beta_trial__17,1.0205910258112592,0.7309885204048957,0.008570559089227334,-0.3227880564989203,2.5963099196348853,4000.0,0.9998377431114753
beta_trial__18,-1.2291950770916786,0.7738123931177827,0.007325742105422113,-2.644080652443005,0.4051358400544709,4000.0,0.9997568285005659
beta_trial__19,-0.2671949926060474,0.8120664459215228,0.008359652126347504,-1.8836231750594927,1.3132540670292643,4000.0,0.9997517872902544
beta_trial__20,0.9251075275955885,0.7152162989024728,0.007323906118224833,-0.46350899417156705,2.3456556181824206,4000.0,0.9997700728092523
beta_trial__21,1.8837229384660974,0.7609066473670931,0.00723611523725007,0.45162964553518503,3.436025646824597,4000.0,0.9997785838537014
beta_trial__22,-2.8284423991641914,0.7018912617083933,0.0074339192927959565,-4.1078802033310655,-1.441642229290685,4000.0,1.0001320417051784
beta_trial__23,2.520124818536396,0.7996933492244502,0.009087644028502487,0.9844655068273678,4.099549471313698,4000.0,1.0000568610291982
beta_trial__24,-0.11500063920878337,0.7178411485425403,0.008319150204070005,-1.5315663070577077,1.252609802976161,4000.0,0.9997516386868499
beta_trial__25,0.5502927962373295,0.7999724956534813,0.007683393970382077,-1.042376623833537,2.05487633019044,4000.0,1.0000168904587539
beta_trial__26,-2.626397335973097,0.6575797110382989,0.0060134755676399644,-3.899442056652737,-1.3324071097924484,4000.0,0.9999869528294139
beta_trial__27,3.9659231676897653,0.6589600614560884,0.006172380847119558,2.6277293637726866,5.216989300386214,4000.0,0.9998301773988917
beta_trial__28,3.4009895299927453,0.603343738400956,0.005885224957505003,2.2296707480964706,4.583805835593127,4000.0,0.9997578807443522
beta_trial__29,2.125324267166961,0.3836295135884317,0.0041019762767794486,1.4053222916190822,2.8805030701367307,4000.0,0.9997578480228182
beta_trial__30,-0.6465692430811157,0.87690571713304,0.00786429620749806,-2.275309218457342,1.1704907817893002,4000.0,0.9999202582601563
beta_trial__31,-0.3849172873315493,0.8213451182392321,0.007970634505875644,-2.005437915692674,1.2006975964953868,4000.0,0.9998635157049699
beta_trial__32,2.6045426757447157,0.7690505448876801,0.007553909371107295,1.0228532946147018,4.006474598527175,4000.0,1.0002290645385667
beta_trial__33,-0.2734256551635094,0.735725373374468,0.007272908346130145,-1.7159201756879476,1.1244038373464464,4000.0,0.9998183313566551
beta_trial__34,0.8650543140011395,0.7267237430437484,0.00843833864309733,-0.5620294730448723,2.2642617585224247,4000.0,0.9997782105046069
beta_trial__35,-1.8517742434764812,0.640276854431528,0.006458110607347451,-3.1167357012750356,-0.6300762010984124,4000.0,0.9997511974300868
beta_trial__36,5.127185778390637,0.7970956931053929,0.008983236550094465,3.561049471022189,6.634575601529834,4000.0,0.9998411669040413
beta_trial__37,-0.3406137485559581,0.837354223949691,0.007756119979746267,-1.9559157480587992,1.3308821180068522,4000.0,0.999985841453544
beta_trial__38,-1.1741720927336619,0.7858287982510929,0.007414886637705608,-2.724487721131026,0.33904980005675855,4000.0,0.999756700699464
beta_trial__39,1.1810760575395813,0.7803167990385459,0.007869569095121005,-0.3188028660647274,2.690047144504721,4000.0,0.9997528790886131
beta_trial__40,0.2328080096446067,0.8212482108999093,0.008571438660650268,-1.4013347499296582,1.8123026249381229,4000.0,0.9997608143463591
beta_trial__41,2.2939384549934814,0.6631604266809306,0.006074496534031007,1.0660196801700605,3.6202411077297616,4000.0,0.99992311968677
beta_trial__42,-0.12293555070947769,0.7544120806778684,0.008655457100514102,-1.501597021032903,1.4474450032100907,4000.0,0.9998058633337507
beta_trial__43,1.589973571083474,0.71644613406645,0.007059659822041794,0.1424851112943022,2.9255280211879153,4000.0,0.9997642295402115
beta_trial__44,0.06497007331090518,0.8114121698601509,0.007861479348521735,-1.5997991312541424,1.5586686896378414,4000.0,0.9997572734389463
beta_trial__45,0.07683948958774321,0.636643780314319,0.0057754597603528485,-1.2210517239671739,1.246495843199744,4000.0,0.9997500153082617
beta_trial__46,-1.2489139855346865,0.7531751795212066,0.00711214500625521,-2.661516905219991,0.26592368959743656,4000.0,0.9997816557134248
beta_trial__47,-1.6476729114594943,0.7322523367067078,0.0069626493971894545,-3.079765394403502,-0.21797070046160377,4000.0,0.9999335213294983
beta_trial__48,1.3434543499730167,0.7920580540700165,0.0073878792738997735,-0.13818162884893445,2.956254222876214,4000.0,0.9997564468872487
beta_trial__49,1.1063215490146119,0.769970774941626,0.007804608182017524,-0.3943212767801471,2.6017442703918894,4000.0,0.9999413724381362
beta_trial__50,-0.2530332892752401,0.8040956327412724,0.008467987167927812,-1.8632707882861246,1.3308539368411825,4000.0,0.9997515413053444
beta_trial__51,-2.575441709848716,0.5992355387211015,0.00528973761951399,-3.7281622482497734,-1.354596087299576,4000.0,0.9997890074926593
beta_trial__52,-0.22609082873048028,0.7378994969513003,0.007088117604344082,-1.6466581088731223,1.1898042807386169,4000.0,0.9997564268162662
beta_trial__53,1.0637395305719208,0.7478768556240135,0.006677032194122733,-0.3828965669656315,2.505473377078884,4000.0,0.9997619344968709
beta_trial__54,-0.657100600949391,0.693830215708552,0.007526791777892336,-2.0478307714062005,0.6663430768068022,4000.0,0.9998408562498347
beta_trial__55,0.7017591701453147,0.785260239102321,0.007046746371655609,-0.8698777145611473,2.1600141201973635,4000.0,1.0003292044620864
beta_trial__56,-0.7994293835868118,0.7325360640330487,0.007015467284061304,-2.1493072487672,0.632067193522533,4000.0,0.9997684067053815
beta_trial__57,0.5880254820632803,0.656167094084249,0.0070541263534350945,-0.7103192160024216,1.8807795740247155,4000.0,0.9997738809443242
beta_trial__58,-0.24810056406885644,0.6432802782306314,0.006417472184794405,-1.5003628515803715,1.0371782017984337,4000.0,0.9997524991777749
beta_trial__59,0.7392422085917081,0.7420451718532511,0.007494376103439204,-0.7953867597239046,2.0978192474345496,4000.0,0.9997617704873867
beta_trial__60,0.7684256797242993,0.7680962384573269,0.009041421257282587,-0.7429571106640425,2.261905228285509,4000.0,0.9999874271928102
beta_trial__61,1.1449751708973408,0.8035174917093871,0.00802492904972817,-0.44817829064421216,2.7179144345043538,4000.0,0.9998123574739853
beta_trial__62,-1.0151243918139783,0.7279786507604059,0.007375543329308736,-2.4633642146432218,0.3558368835909666,4000.0,0.9997642630304595
beta_trial__63,-1.602880415236962,0.6888968275927165,0.0069632855063717775,-2.9500221858667843,-0.30288735793547544,4000.0,0.9997900513538052
beta_trial__64,-1.2114356969843167,0.6879685361563825,0.007708296902237281,-2.5616272345448636,0.12702038303141203,4000.0,0.9997499695093572
beta_trial__65,2.754170804776357,0.792988674008302,0.008802498761318774,1.1562872100621155,4.2705408137673935,4000.0,0.999859500540492
beta_trial__66,0.2529557188520205,0.7205943690230283,0.00781273341165288,-1.1230008983352078,1.659757649850324,4000.0,1.0001635389956203
beta_trial__67,1.4070416590270092,0.737433389671661,0.007623422837875591,-0.0021115117609808026,2.8892740833796164,4000.0,0.9998002978199351
beta_trial__68,2.6216876135293314,0.5095282921706913,0.004998883091487015,1.5758300310693476,3.5794464289637533,4000.0,0.9998490093388421
beta_trial__69,-1.6222096335310987,0.7754357557555408,0.009075155759870347,-3.123044250253272,-0.07735556807493743,4000.0,1.0002305945523369
beta_trial__70,-1.714390877771836,0.7083386509895151,0.007208556222999589,-3.0128744752339958,-0.2609444299538993,4000.0,0.9997504475012542
beta_trial__71,0.18226446984795622,0.7288293000297161,0.00791719609176966,-1.1891102364326187,1.600126560268847,4000.0,0.9998950213056204
beta_trial__72,2.448144073241622,0.729742335047261,0.007078483527722475,1.0362934948244167,3.827091197092688,4000.0,0.999752930825367
beta_trial__73,-0.6867059268250798,0.73236749503103,0.0071876568021608635,-2.0984436089587097,0.7258395749669343,4000.0,0.9997505178071666
beta_trial__74,5.567288870767557,0.5238611331147682,0.005104921390344967,4.53718684399167,6.557608729519263,4000.0,0.9997798263059113
beta_trial__75,0.17358684857149434,0.7844524424255241,0.007651123785652518,-1.2681927173140404,1.7278099850208843,4000.0,0.9997529059550325
