"","X","X.1","X.2","par1","par2","par3","id","lambda","beta","tau"
"34","cv",2,104.27866673057,1.17841870322978,-2.4088667875925,-0.0811726151754817,5,3.24923213811025,0.0899171320692997,0.922034520556782
"35","cv",3,104.711020813155,4.07607029055106,-4.99996923913215,-1.15020356535972,5,58.9135014209313,0.00673815426737055,0.316572319661282
"36","cv",4,104.201211649636,3.86942444161906,-4.9999998537396,-0.926530043357917,5,47.9148003780609,0.00673794798458036,0.395925172720906
"37","cv",5,103.734129444694,4.99999999298643,-4.99998988092031,-1.13664454074009,5,148.413158061671,0.00673801518125307,0.320893963968278
"38","cv",6,103.785521529024,1.73701722159464,-2.75710937675808,0.198322951785508,5,5.68037482910091,0.0634749856948513,1.21935612347762
"39","cv",7,104.265762782398,3.84235717429012,-4.99999921673466,-0.980446618331288,5,46.635272447656,0.00673795227668788,0.37514351546041
"40","cv",8,104.912115172971,3.97632507021981,-4.99999854567127,-1.18788275204415,5,53.3207238190769,0.0067379567982825,0.304866058269909
"41","cv",1,103.776750182625,3.76086334286726,0.833064449048696,-0.622042923539182,6,42.9855212066379,2.30035727780783,0.536846580041688
"42","cv",2,103.961905944178,3.70533697760726,0.578069322840064,-0.65566133953326,6,40.6637477808038,1.78259349374574,0.519098648584966
"43","cv",3,102.830474549504,3.81450779639111,0.626394683650746,-0.424330871529368,6,45.3544272753803,1.87085338737193,0.65420738749609
"44","cv",4,102.89751243106,3.73119233568628,-0.414464916014846,-0.559355348458203,6,41.7288332906961,0.660693712763425,0.5715774133683
"45","cv",5,104.092449919226,3.68740673421022,0.815328553981362,-0.853931970113107,6,39.9411345606429,2.25991805546123,0.425737648884801
"46","cv",6,103.900108848889,3.75898322433072,0.799007520301577,-0.637842419432665,6,42.9047792574164,2.22333322003706,0.528431328127313
"47","cv",7,106.894104768048,4.11070802065232,-0.00233445250638653,-1.21749140594202,6,60.9898843840474,0.997668270208771,0.295971709292005
"48","cv",8,103.985586410072,3.76320880140449,0.0478515375135547,-0.731749348380771,6,43.0864602922758,1.04901490440215,0.481066700322629
"49","cv",1,101.987614817756,-0.285675789488912,-2.7552857796827,-1.83108052942562,7,0.75150622267136,0.0635908441005418,0.16024032980614
"50","cv",2,94.0520732218715,-0.424856496290627,-2.26251578627002,-1.66501361095874,7,0.653863610251055,0.104088291187726,0.189188082933267
"51","cv",3,102.245503862553,-0.303988298029531,-2.70918317945086,-1.79576782075165,7,0.737869500927181,0.0665911775485999,0.165999945199084
"52","cv",4,101.433363378045,-0.303416461900129,-2.75946815408288,-1.79683029357882,7,0.738291562029987,0.0633254387811746,0.165823668429219
"53","cv",5,105.954222930031,-0.351501361554125,-2.90805182846675,-1.90352558452268,7,0.703630891929802,0.0545819613803781,0.149042230872175
"54","cv",6,104.894700202958,-0.277452027007275,-2.66260580368412,-1.86004377132533,7,0.757711913439197,0.0697661876862497,0.155665816519775
"55","cv",7,104.583102211188,-0.328401877966491,-2.67921072798449,-1.85010321717167,7,0.720073579843454,0.0686172904944858,0.157220937575596
"56","cv",8,99.1901530665229,-0.259786827884005,-2.6729697971439,-1.74231341075681,7,0.771215970022097,0.069046865338076,0.175114819153315
"57","cv",1,104.537576474824,0.222057331333122,-3.37017128110283,-1.67236747508549,8,1.24864296217787,0.0343837475528819,0.187801922541443
"58","cv",2,103.509241327801,-0.232905699247299,-3.22658626020987,-1.76923056087115,8,0.792228277724828,0.0396927685525337,0.17046410012656
"59","cv",3,102.836484054791,-0.0810323642938331,-3.24294249487645,-1.78176020178818,8,0.922163845779977,0.0390488249180512,0.16834157119366
"60","cv",4,100.999716568589,0.259803178830933,-3.24376194662345,-1.4365436682564,8,1.29667484848888,0.039016839397339,0.237748076443913
"61","cv",5,104.471782957655,-0.0299390249981039,-2.90075131286405,-1.76443146106697,8,0.970504708270827,0.0549818959289755,0.171284140510032
"62","cv",6,104.975209669155,0.0817683038351886,-2.62626851864075,-1.74928982756263,8,1.08520434301441,0.0723479241103244,0.173897396746792
"63","cv",7,105.450961067163,-0.809241224559092,-4.04164136043638,-1.87392852016167,8,0.445195741692006,0.0175686123120155,0.153519371662505
